The amount of steps is wrong: 12001 is not 0
  In (0,29), the ground is expected to be white, but it is black.
  In (91,28), the ground is expected to be green, but it is orange.
  In (91,29), the ground is expected to be orange, but it is pink.
  In (91,30), the ground is expected to be cyan, but it is light grey.
  In (91,31), the ground is expected to be red, but it is light grey.
  In (91,32), the ground is expected to be cyan, but it is blue.
  In (91,34), the ground is expected to be dark grey, but it is black.
  In (91,35), the ground is expected to be magenta, but it is light grey.
  In (91,36), the ground is expected to be green, but it is white.
  In (91,37), the ground is expected to be blue, but it is light grey.
  In (91,38), the ground is expected to be white, but it is dark grey.
  In (91,39), the ground is expected to be pink, but it is light grey.
  In (91,40), the ground is expected to be dark grey, but it is magenta.
  In (91,41), the ground is expected to be red, but it is magenta.
  In (91,42), the ground is expected to be green, but it is light grey.
  In (91,44), the ground is expected to be white, but it is cyan.
  In (91,45), the ground is expected to be white, but it is cyan.
  In (91,46), the ground is expected to be green, but it is cyan.
  In (91,47), the ground is expected to be light grey, but it is cyan.
  In (91,48), the ground is expected to be white, but it is pink.
  In (91,49), the ground is expected to be blue, but it is magenta.
  In (91,50), the ground is expected to be grey, but it is magenta.
  In (91,51), the ground is expected to be black, but it is green.
  In (91,52), the ground is expected to be white, but it is blue.
  In (91,53), the ground is expected to be white, but it is green.
  In (91,54), the ground is expected to be white, but it is green.
  In (91,55), the ground is expected to be white, but it is cyan.
  In (91,56), the ground is expected to be white, but it is cyan.
  In (91,57), the ground is expected to be white, but it is cyan.
  In (91,58), the ground is expected to be white, but it is black.
  In (92,0), the ground is expected to be white, but it is black.
  In (92,5), the ground is expected to be white, but it is black.
  In (92,6), the ground is expected to be white, but it is blue.
  In (92,7), the ground is expected to be white, but it is green.
  In (92,8), the ground is expected to be white, but it is light grey.
  In (92,9), the ground is expected to be white, but it is red.
  In (92,10), the ground is expected to be white, but it is pink.
  In (92,11), the ground is expected to be black, but it is magenta.
  In (92,12), the ground is expected to be blue, but it is orange.
  In (92,13), the ground is expected to be green, but it is magenta.
  In (92,14), the ground is expected to be red, but it is blue.
  In (92,15), the ground is expected to be orange, but it is grey.
  In (92,16), the ground is expected to be cyan, but it is light grey.
  In (92,17), the ground is expected to be orange, but it is magenta.
  In (92,18), the ground is expected to be green, but it is black.
  In (92,19), the ground is expected to be red, but it is blue.
  In (92,20), the ground is expected to be light grey, but it is black.
  In (92,21), the ground is expected to be light grey, but it is pink.
  In (92,22), the ground is expected to be grey, but it is black.
  In (92,23), the ground is expected to be black, but it is blue.
  In (92,24), the ground is expected to be white, but it is light grey.
  In (92,25), the ground is expected to be white, but it is magenta.
  In (92,27), the ground is expected to be red, but it is magenta.
  In (92,28), the ground is expected to be grey, but it is light grey.
  In (92,29), the ground is expected to be light grey, but it is cyan.
  In (92,30), the ground is expected to be dark grey, but it is pink.
  In (92,31), the ground is expected to be dark grey, but it is pink.
  In (92,32), the ground is expected to be red, but it is light grey.
  In (92,33), the ground is expected to be blue, but it is white.
  In (92,34), the ground is expected to be magenta, but it is orange.
  In (92,35), the ground is expected to be red, but it is dark grey.
  In (92,36), the ground is expected to be grey, but it is blue.
  In (92,37), the ground is expected to be green, but it is blue.
  In (92,38), the ground is expected to be orange, but it is white.
  In (92,39), the ground is expected to be grey, but it is magenta.
  In (92,41), the ground is expected to be pink, but it is black.
  In (92,42), the ground is expected to be green, but it is magenta.
  In (92,43), the ground is expected to be grey, but it is cyan.
  In (92,44), the ground is expected to be grey, but it is blue.
  In (92,45), the ground is expected to be green, but it is blue.
  In (92,46), the ground is expected to be dark grey, but it is blue.
  In (92,47), the ground is expected to be white, but it is blue.
  In (92,48), the ground is expected to be white, but it is blue.
  In (92,49), the ground is expected to be black, but it is pink.
  In (92,50), the ground is expected to be magenta, but it is grey.
  In (92,51), the ground is expected to be blue, but it is grey.
  In (92,52), the ground is expected to be black, but it is grey.
  In (92,53), the ground is expected to be white, but it is red.
  In (92,54), the ground is expected to be white, but it is red.
  In (92,55), the ground is expected to be white, but it is magenta.
  In (92,56), the ground is expected to be white, but it is magenta.
  In (92,57), the ground is expected to be white, but it is green.
  In (92,58), the ground is expected to be white, but it is blue.
  In (92,59), the ground is expected to be white, but it is blue.
  In (93,0), the ground is expected to be white, but it is cyan.
  In (93,5), the ground is expected to be white, but it is black.
  In (93,6), the ground is expected to be white, but it is blue.
  In (93,7), the ground is expected to be white, but it is blue.
  In (93,8), the ground is expected to be white, but it is light grey.
  In (93,9), the ground is expected to be white, but it is dark grey.
  In (93,10), the ground is expected to be white, but it is grey.
  In (93,11), the ground is expected to be black, but it is green.
  In (93,12), the ground is expected to be green, but it is blue.
  In (93,13), the ground is expected to be magenta, but it is red.
  In (93,14), the ground is expected to be dark grey, but it is black.
  In (93,16), the ground is expected to be dark grey, but it is blue.
  In (93,17), the ground is expected to be magenta, but it is light grey.
  In (93,18), the ground is expected to be dark grey, but it is pink.
  In (93,20), the ground is expected to be orange, but it is black.
  In (93,21), the ground is expected to be magenta, but it is black.
  In (93,22), the ground is expected to be red, but it is green.
  In (93,23), the ground is expected to be black, but it is blue.
  In (93,24), the ground is expected to be white, but it is light grey.
  In (93,25), the ground is expected to be blue, but it is grey.
  In (93,27), the ground is expected to be blue, but it is magenta.
  In (93,28), the ground is expected to be orange, but it is light grey.
  In (93,29), the ground is expected to be pink, but it is black.
  In (93,30), the ground is expected to be cyan, but it is green.
  In (93,31), the ground is expected to be magenta, but it is black.
  In (93,32), the ground is expected to be grey, but it is dark grey.
  In (93,33), the ground is expected to be blue, but it is cyan.
  In (93,34), the ground is expected to be blue, but it is magenta.
  In (93,35), the ground is expected to be pink, but it is magenta.
  In (93,36), the ground is expected to be black, but it is pink.
  In (93,37), the ground is expected to be green, but it is magenta.
  In (93,38), the ground is expected to be orange, but it is cyan.
  In (93,39), the ground is expected to be pink, but it is orange.
  In (93,40), the ground is expected to be magenta, but it is cyan.
  In (93,41), the ground is expected to be red, but it is magenta.
  In (93,42), the ground is expected to be black, but it is grey.
  In (93,43), the ground is expected to be dark grey, but it is grey.
  In (93,44), the ground is expected to be orange, but it is green.
  In (93,45), the ground is expected to be grey, but it is blue.
  In (93,46), the ground is expected to be dark grey, but it is green.
  In (93,47), the ground is expected to be blue, but it is black.
  In (93,48), the ground is expected to be grey, but it is cyan.
  In (93,49), the ground is expected to be blue, but it is black.
  In (93,50), the ground is expected to be magenta, but it is pink.
  In (93,51), the ground is expected to be green, but it is black.
  In (93,52), the ground is expected to be black, but it is light grey.
  In (93,53), the ground is expected to be white, but it is dark grey.
  In (93,54), the ground is expected to be white, but it is dark grey.
  In (93,55), the ground is expected to be white, but it is pink.
  In (93,56), the ground is expected to be white, but it is pink.
  In (93,57), the ground is expected to be white, but it is magenta.
  In (93,58), the ground is expected to be white, but it is magenta.
  In (93,59), the ground is expected to be white, but it is magenta.
  In (94,0), the ground is expected to be white, but it is cyan.
  In (94,5), the ground is expected to be white, but it is black.
  In (94,6), the ground is expected to be white, but it is green.
  In (94,7), the ground is expected to be white, but it is green.
  In (94,8), the ground is expected to be white, but it is magenta.
  In (94,10), the ground is expected to be white, but it is pink.
  In (94,12), the ground is expected to be orange, but it is cyan.
  In (94,13), the ground is expected to be light grey, but it is dark grey.
  In (94,14), the ground is expected to be cyan, but it is light grey.
  In (94,15), the ground is expected to be red, but it is orange.
  In (94,16), the ground is expected to be green, but it is red.
  In (94,17), the ground is expected to be cyan, but it is blue.
  In (94,18), the ground is expected to be orange, but it is light grey.
  In (94,20), the ground is expected to be black, but it is blue.
  In (94,21), the ground is expected to be orange, but it is green.
  In (94,23), the ground is expected to be pink, but it is black.
  In (94,25), the ground is expected to be green, but it is orange.
  In (94,26), the ground is expected to be magenta, but it is white.
  In (94,27), the ground is expected to be white, but it is light grey.
  In (94,28), the ground is expected to be orange, but it is grey.
  In (94,29), the ground is expected to be light grey, but it is cyan.
  In (94,30), the ground is expected to be grey, but it is light grey.
  In (94,31), the ground is expected to be light grey, but it is magenta.
  In (94,32), the ground is expected to be black, but it is white.
  In (94,33), the ground is expected to be blue, but it is dark grey.
  In (94,34), the ground is expected to be white, but it is red.
  In (94,35), the ground is expected to be pink, but it is cyan.
  In (94,36), the ground is expected to be red, but it is pink.
  In (94,37), the ground is expected to be dark grey, but it is green.
  In (94,38), the ground is expected to be white, but it is magenta.
  In (94,39), the ground is expected to be grey, but it is white.
  In (94,40), the ground is expected to be white, but it is green.
  In (94,41), the ground is expected to be light grey, but it is grey.
  In (94,42), the ground is expected to be white, but it is green.
  In (94,43), the ground is expected to be light grey, but it is orange.
  In (94,44), the ground is expected to be magenta, but it is orange.
  In (94,45), the ground is expected to be red, but it is blue.
  In (94,46), the ground is expected to be white, but it is grey.
  In (94,47), the ground is expected to be dark grey, but it is blue.
  In (94,48), the ground is expected to be pink, but it is grey.
  In (94,49), the ground is expected to be orange, but it is cyan.
  In (94,50), the ground is expected to be magenta, but it is green.
  In (94,51), the ground is expected to be green, but it is cyan.
  In (94,52), the ground is expected to be black, but it is green.
  In (94,53), the ground is expected to be white, but it is grey.
  In (94,54), the ground is expected to be white, but it is black.
  In (94,55), the ground is expected to be white, but it is red.
  In (94,57), the ground is expected to be white, but it is black.
  In (94,58), the ground is expected to be white, but it is pink.
  In (94,59), the ground is expected to be white, but it is magenta.
  In (95,0), the ground is expected to be white, but it is blue.
  In (95,5), the ground is expected to be white, but it is black.
  In (95,6), the ground is expected to be white, but it is green.
  In (95,7), the ground is expected to be white, but it is grey.
  In (95,8), the ground is expected to be white, but it is grey.
  In (95,9), the ground is expected to be white, but it is red.
  In (95,10), the ground is expected to be white, but it is magenta.
  In (95,13), the ground is expected to be magenta, but it is dark grey.
  In (95,14), the ground is expected to be grey, but it is white.
  In (95,15), the ground is expected to be blue, but it is magenta.
  In (95,16), the ground is expected to be cyan, but it is red.
  In (95,17), the ground is expected to be cyan, but it is grey.
  In (95,18), the ground is expected to be cyan, but it is blue.
  In (95,19), the ground is expected to be magenta, but it is light grey.
  In (95,20), the ground is expected to be pink, but it is green.
  In (95,21), the ground is expected to be cyan, but it is green.
  In (95,22), the ground is expected to be grey, but it is cyan.
  In (95,23), the ground is expected to be grey, but it is cyan.
  In (95,24), the ground is expected to be pink, but it is dark grey.
  In (95,25), the ground is expected to be red, but it is grey.
  In (95,27), the ground is expected to be white, but it is magenta.
  In (95,28), the ground is expected to be cyan, but it is green.
  In (95,29), the ground is expected to be cyan, but it is grey.
  In (95,31), the ground is expected to be pink, but it is red.
  In (95,32), the ground is expected to be black, but it is dark grey.
  In (95,33), the ground is expected to be blue, but it is red.
  In (95,34), the ground is expected to be green, but it is orange.
  In (95,35), the ground is expected to be pink, but it is black.
  In (95,36), the ground is expected to be dark grey, but it is blue.
  In (95,37), the ground is expected to be pink, but it is grey.
  In (95,38), the ground is expected to be grey, but it is light grey.
  In (95,39), the ground is expected to be cyan, but it is dark grey.
  In (95,41), the ground is expected to be grey, but it is orange.
  In (95,42), the ground is expected to be light grey, but it is red.
  In (95,43), the ground is expected to be blue, but it is magenta.
  In (95,44), the ground is expected to be cyan, but it is dark grey.
  In (95,45), the ground is expected to be red, but it is pink.
  In (95,46), the ground is expected to be black, but it is cyan.
  In (95,47), the ground is expected to be red, but it is magenta.
  In (95,48), the ground is expected to be red, but it is cyan.
  In (95,49), the ground is expected to be blue, but it is magenta.
  In (95,50), the ground is expected to be dark grey, but it is red.
  In (95,51), the ground is expected to be blue, but it is red.
  In (95,52), the ground is expected to be black, but it is blue.
  In (95,53), the ground is expected to be white, but it is black.
  In (95,55), the ground is expected to be white, but it is pink.
  In (95,56), the ground is expected to be white, but it is orange.
  In (95,57), the ground is expected to be white, but it is cyan.
  In (95,58), the ground is expected to be white, but it is dark grey.
  In (95,59), the ground is expected to be white, but it is red.
  In (96,0), the ground is expected to be white, but it is blue.
  In (96,5), the ground is expected to be white, but it is black.
  In (96,6), the ground is expected to be white, but it is cyan.
  In (96,7), the ground is expected to be white, but it is green.
  In (96,8), the ground is expected to be white, but it is green.
  In (96,9), the ground is expected to be white, but it is green.
  In (96,10), the ground is expected to be white, but it is dark grey.
  In (96,11), the ground is expected to be black, but it is light grey.
  In (96,12), the ground is expected to be cyan, but it is light grey.
  In (96,13), the ground is expected to be grey, but it is dark grey.
  In (96,14), the ground is expected to be light grey, but it is orange.
  In (96,15), the ground is expected to be dark grey, but it is white.
  In (96,16), the ground is expected to be dark grey, but it is blue.
  In (96,17), the ground is expected to be cyan, but it is blue.
  In (96,18), the ground is expected to be cyan, but it is blue.
  In (96,19), the ground is expected to be blue, but it is black.
  In (96,21), the ground is expected to be dark grey, but it is green.
  In (96,22), the ground is expected to be black, but it is magenta.
  In (96,23), the ground is expected to be blue, but it is green.
  In (96,24), the ground is expected to be orange, but it is red.
  In (96,25), the ground is expected to be pink, but it is orange.
  In (96,26), the ground is expected to be magenta, but it is light grey.
  In (96,28), the ground is expected to be orange, but it is cyan.
  In (96,29), the ground is expected to be pink, but it is orange.
  In (96,30), the ground is expected to be grey, but it is blue.
  In (96,31), the ground is expected to be red, but it is green.
  In (96,32), the ground is expected to be black, but it is magenta.
  In (96,33), the ground is expected to be black, but it is cyan.
  In (96,34), the ground is expected to be red, but it is blue.
  In (96,35), the ground is expected to be black, but it is white.
  In (96,36), the ground is expected to be magenta, but it is dark grey.
  In (96,37), the ground is expected to be white, but it is black.
  In (96,38), the ground is expected to be dark grey, but it is magenta.
  In (96,39), the ground is expected to be grey, but it is black.
  In (96,40), the ground is expected to be white, but it is magenta.
  In (96,41), the ground is expected to be orange, but it is black.
  In (96,43), the ground is expected to be white, but it is cyan.
  In (96,44), the ground is expected to be light grey, but it is orange.
  In (96,45), the ground is expected to be orange, but it is dark grey.
  In (96,46), the ground is expected to be dark grey, but it is red.
  In (96,47), the ground is expected to be blue, but it is green.
  In (96,48), the ground is expected to be green, but it is light grey.
  In (96,49), the ground is expected to be light grey, but it is pink.
  In (96,50), the ground is expected to be dark grey, but it is red.
  In (96,51), the ground is expected to be green, but it is cyan.
  In (96,52), the ground is expected to be black, but it is white.
  In (96,53), the ground is expected to be white, but it is dark grey.
  In (96,54), the ground is expected to be white, but it is blue.
  In (96,55), the ground is expected to be white, but it is grey.
  In (96,56), the ground is expected to be white, but it is dark grey.
  In (96,58), the ground is expected to be white, but it is grey.
  In (96,59), the ground is expected to be white, but it is orange.
  In (97,0), the ground is expected to be white, but it is black.
  In (97,5), the ground is expected to be white, but it is black.
  In (97,6), the ground is expected to be white, but it is black.
  In (97,7), the ground is expected to be white, but it is black.
  In (97,8), the ground is expected to be white, but it is black.
  In (97,9), the ground is expected to be white, but it is black.
  In (97,10), the ground is expected to be black, but it is grey.
  In (97,11), the ground is expected to be orange, but it is dark grey.
  In (97,12), the ground is expected to be magenta, but it is pink.
  In (97,13), the ground is expected to be black, but it is dark grey.
  In (97,14), the ground is expected to be dark grey, but it is blue.
  In (97,15), the ground is expected to be cyan, but it is light grey.
  In (97,16), the ground is expected to be orange, but it is green.
  In (97,18), the ground is expected to be green, but it is magenta.
  In (97,19), the ground is expected to be dark grey, but it is blue.
  In (97,20), the ground is expected to be blue, but it is red.
  In (97,21), the ground is expected to be pink, but it is orange.
  In (97,22), the ground is expected to be black, but it is magenta.
  In (97,23), the ground is expected to be cyan, but it is blue.
  In (97,24), the ground is expected to be black, but it is light grey.
  In (97,25), the ground is expected to be dark grey, but it is blue.
  In (97,26), the ground is expected to be blue, but it is black.
  In (97,28), the ground is expected to be grey, but it is dark grey.
  In (97,29), the ground is expected to be orange, but it is black.
  In (97,30), the ground is expected to be magenta, but it is light grey.
  In (97,31), the ground is expected to be cyan, but it is pink.
  In (97,32), the ground is expected to be blue, but it is magenta.
  In (97,33), the ground is expected to be light grey, but it is black.
  In (97,34), the ground is expected to be blue, but it is magenta.
  In (97,35), the ground is expected to be green, but it is orange.
  In (97,36), the ground is expected to be white, but it is red.
  In (97,37), the ground is expected to be cyan, but it is pink.
  In (97,38), the ground is expected to be green, but it is grey.
  In (97,39), the ground is expected to be red, but it is grey.
  In (97,40), the ground is expected to be light grey, but it is blue.
  In (97,41), the ground is expected to be green, but it is cyan.
  In (97,42), the ground is expected to be black, but it is blue.
  In (97,43), the ground is expected to be magenta, but it is cyan.
  In (97,44), the ground is expected to be dark grey, but it is pink.
  In (97,45), the ground is expected to be light grey, but it is pink.
  In (97,46), the ground is expected to be dark grey, but it is cyan.
  In (97,47), the ground is expected to be orange, but it is dark grey.
  In (97,48), the ground is expected to be cyan, but it is black.
  In (97,49), the ground is expected to be dark grey, but it is magenta.
  In (97,50), the ground is expected to be dark grey, but it is grey.
  In (97,51), the ground is expected to be magenta, but it is red.
  In (97,52), the ground is expected to be black, but it is grey.
  In (97,53), the ground is expected to be white, but it is black.
  In (97,54), the ground is expected to be white, but it is black.
  In (97,55), the ground is expected to be white, but it is grey.
  In (97,56), the ground is expected to be white, but it is magenta.
  In (97,57), the ground is expected to be white, but it is pink.
  In (97,58), the ground is expected to be white, but it is orange.
  In (97,59), the ground is expected to be white, but it is cyan.
  In (98,0), the ground is expected to be white, but it is black.
  In (98,9), the ground is expected to be black, but it is white.
  In (98,10), the ground is expected to be blue, but it is red.
  In (98,12), the ground is expected to be blue, but it is pink.
  In (98,13), the ground is expected to be black, but it is green.
  In (98,14), the ground is expected to be light grey, but it is red.
  In (98,15), the ground is expected to be light grey, but it is magenta.
  In (98,16), the ground is expected to be blue, but it is grey.
  In (98,17), the ground is expected to be orange, but it is grey.
  In (98,19), the ground is expected to be white, but it is grey.
  In (98,20), the ground is expected to be green, but it is red.
  In (98,21), the ground is expected to be dark grey, but it is orange.
  In (98,22), the ground is expected to be white, but it is cyan.
  In (98,23), the ground is expected to be red, but it is grey.
  In (98,24), the ground is expected to be cyan, but it is black.
  In (98,25), the ground is expected to be grey, but it is blue.
  In (98,26), the ground is expected to be red, but it is pink.
  In (98,27), the ground is expected to be dark grey, but it is light grey.
  In (98,29), the ground is expected to be grey, but it is orange.
  In (98,30), the ground is expected to be grey, but it is white.
  In (98,31), the ground is expected to be cyan, but it is green.
  In (98,32), the ground is expected to be green, but it is grey.
  In (98,34), the ground is expected to be black, but it is light grey.
  In (98,35), the ground is expected to be green, but it is white.
  In (98,36), the ground is expected to be blue, but it is red.
  In (98,37), the ground is expected to be pink, but it is orange.
  In (98,38), the ground is expected to be red, but it is dark grey.
  In (98,39), the ground is expected to be grey, but it is pink.
  In (98,40), the ground is expected to be white, but it is cyan.
  In (98,41), the ground is expected to be light grey, but it is green.
  In (98,42), the ground is expected to be red, but it is blue.
  In (98,43), the ground is expected to be orange, but it is white.
  In (98,44), the ground is expected to be magenta, but it is dark grey.
  In (98,45), the ground is expected to be blue, but it is dark grey.
  In (98,46), the ground is expected to be blue, but it is orange.
  In (98,47), the ground is expected to be white, but it is red.
  In (98,48), the ground is expected to be blue, but it is magenta.
  In (98,50), the ground is expected to be white, but it is orange.
  In (98,51), the ground is expected to be pink, but it is dark grey.
  In (98,52), the ground is expected to be blue, but it is cyan.
  In (98,53), the ground is expected to be white, but it is grey.
  In (98,54), the ground is expected to be white, but it is magenta.
  In (98,55), the ground is expected to be white, but it is blue.
  In (98,56), the ground is expected to be white, but it is blue.
  In (98,57), the ground is expected to be white, but it is magenta.
  In (98,58), the ground is expected to be white, but it is orange.
  In (98,59), the ground is expected to be white, but it is cyan.
  In (99,0), the ground is expected to be white, but it is black.
  In (99,6), the ground is expected to be white, but it is black.
  In (99,7), the ground is expected to be white, but it is black.
  In (99,8), the ground is expected to be white, but it is black.
  In (99,10), the ground is expected to be green, but it is red.
  In (99,11), the ground is expected to be magenta, but it is white.
  In (99,12), the ground is expected to be pink, but it is light grey.
  In (99,13), the ground is expected to be magenta, but it is pink.
  In (99,14), the ground is expected to be dark grey, but it is white.
  In (99,15), the ground is expected to be white, but it is green.
  In (99,16), the ground is expected to be cyan, but it is grey.
  In (99,17), the ground is expected to be orange, but it is pink.
  In (99,18), the ground is expected to be pink, but it is blue.
  In (99,19), the ground is expected to be grey, but it is green.
  In (99,21), the ground is expected to be green, but it is cyan.
  In (99,22), the ground is expected to be orange, but it is green.
  In (99,23), the ground is expected to be black, but it is grey.
  In (99,24), the ground is expected to be magenta, but it is grey.
  In (99,25), the ground is expected to be pink, but it is light grey.
  In (99,26), the ground is expected to be green, but it is cyan.
  In (99,27), the ground is expected to be red, but it is pink.
  In (99,28), the ground is expected to be orange, but it is pink.
  In (99,29), the ground is expected to be light grey, but it is green.
  In (99,30), the ground is expected to be red, but it is white.
  In (99,31), the ground is expected to be dark grey, but it is green.
  In (99,32), the ground is expected to be white, but it is black.
  In (99,33), the ground is expected to be grey, but it is light grey.
  In (99,34), the ground is expected to be red, but it is dark grey.
  In (99,35), the ground is expected to be cyan, but it is black.
  In (99,36), the ground is expected to be pink, but it is black.
  In (99,37), the ground is expected to be dark grey, but it is light grey.
  In (99,38), the ground is expected to be light grey, but it is white.
  In (99,39), the ground is expected to be cyan, but it is black.
  In (99,41), the ground is expected to be blue, but it is orange.
  In (99,42), the ground is expected to be green, but it is dark grey.
  In (99,43), the ground is expected to be black, but it is green.
  In (99,44), the ground is expected to be pink, but it is light grey.
  In (99,45), the ground is expected to be red, but it is magenta.
  In (99,46), the ground is expected to be orange, but it is green.
  In (99,48), the ground is expected to be cyan, but it is dark grey.
  In (99,49), the ground is expected to be blue, but it is cyan.
  In (99,50), the ground is expected to be black, but it is green.
  In (99,51), the ground is expected to be dark grey, but it is black.
  In (99,52), the ground is expected to be blue, but it is pink.
  In (99,53), the ground is expected to be white, but it is magenta.
  In (99,54), the ground is expected to be white, but it is grey.
  In (99,55), the ground is expected to be white, but it is pink.
  In (99,56), the ground is expected to be white, but it is dark grey.
  In (99,57), the ground is expected to be white, but it is orange.
  In (99,58), the ground is expected to be white, but it is orange.
  In (99,59), the ground is expected to be white, but it is cyan.
  In (100,0), the ground is expected to be white, but it is black.
  In (100,6), the ground is expected to be white, but it is black.
  In (100,7), the ground is expected to be white, but it is cyan.
  In (100,8), the ground is expected to be white, but it is green.
  In (100,9), the ground is expected to be blue, but it is green.
  In (100,10), the ground is expected to be red, but it is dark grey.
  In (100,11), the ground is expected to be red, but it is blue.
  In (100,12), the ground is expected to be cyan, but it is white.
  In (100,13), the ground is expected to be green, but it is dark grey.
  In (100,15), the ground is expected to be orange, but it is cyan.
  In (100,16), the ground is expected to be blue, but it is pink.
  In (100,17), the ground is expected to be black, but it is grey.
  In (100,18), the ground is expected to be white, but it is green.
  In (100,19), the ground is expected to be cyan, but it is magenta.
  In (100,20), the ground is expected to be grey, but it is magenta.
  In (100,21), the ground is expected to be magenta, but it is grey.
  In (100,22), the ground is expected to be orange, but it is blue.
  In (100,23), the ground is expected to be white, but it is grey.
  In (100,24), the ground is expected to be black, but it is pink.
  In (100,25), the ground is expected to be pink, but it is magenta.
  In (100,26), the ground is expected to be cyan, but it is blue.
  In (100,27), the ground is expected to be green, but it is black.
  In (100,28), the ground is expected to be red, but it is magenta.
  In (100,29), the ground is expected to be pink, but it is orange.
  In (100,30), the ground is expected to be dark grey, but it is blue.
  In (100,31), the ground is expected to be magenta, but it is blue.
  In (100,32), the ground is expected to be orange, but it is magenta.
  In (100,33), the ground is expected to be dark grey, but it is blue.
  In (100,34), the ground is expected to be light grey, but it is dark grey.
  In (100,35), the ground is expected to be dark grey, but it is white.
  In (100,36), the ground is expected to be red, but it is orange.
  In (100,37), the ground is expected to be pink, but it is orange.
  In (100,38), the ground is expected to be black, but it is pink.
  In (100,39), the ground is expected to be magenta, but it is orange.
  In (100,40), the ground is expected to be dark grey, but it is magenta.
  In (100,41), the ground is expected to be blue, but it is green.
  In (100,42), the ground is expected to be blue, but it is cyan.
  In (100,44), the ground is expected to be pink, but it is magenta.
  In (100,45), the ground is expected to be red, but it is grey.
  In (100,46), the ground is expected to be green, but it is blue.
  In (100,47), the ground is expected to be grey, but it is cyan.
  In (100,48), the ground is expected to be red, but it is orange.
  In (100,49), the ground is expected to be black, but it is light grey.
  In (100,50), the ground is expected to be light grey, but it is green.
  In (100,51), the ground is expected to be magenta, but it is black.
  In (100,53), the ground is expected to be white, but it is blue.
  In (100,54), the ground is expected to be white, but it is light grey.
  In (100,55), the ground is expected to be white, but it is magenta.
  In (100,56), the ground is expected to be white, but it is red.
  In (100,57), the ground is expected to be white, but it is red.
  In (100,58), the ground is expected to be white, but it is orange.
  In (100,59), the ground is expected to be white, but it is cyan.
  In (101,0), the ground is expected to be white, but it is black.
  In (101,6), the ground is expected to be white, but it is black.
  In (101,7), the ground is expected to be white, but it is cyan.
  In (101,8), the ground is expected to be white, but it is magenta.
  In (101,10), the ground is expected to be cyan, but it is orange.
  In (101,12), the ground is expected to be cyan, but it is blue.
  In (101,13), the ground is expected to be orange, but it is cyan.
  In (101,14), the ground is expected to be pink, but it is black.
  In (101,15), the ground is expected to be grey, but it is pink.
  In (101,16), the ground is expected to be pink, but it is cyan.
  In (101,17), the ground is expected to be orange, but it is light grey.
  In (101,18), the ground is expected to be orange, but it is blue.
  In (101,19), the ground is expected to be magenta, but it is black.
  In (101,20), the ground is expected to be pink, but it is black.
  In (101,21), the ground is expected to be orange, but it is light grey.
  In (101,22), the ground is expected to be blue, but it is magenta.
  In (101,23), the ground is expected to be magenta, but it is cyan.
  In (101,24), the ground is expected to be white, but it is orange.
  In (101,26), the ground is expected to be red, but it is green.
  In (101,27), the ground is expected to be red, but it is magenta.
  In (101,28), the ground is expected to be black, but it is red.
  In (101,29), the ground is expected to be pink, but it is black.
  In (101,30), the ground is expected to be red, but it is light grey.
  In (101,31), the ground is expected to be light grey, but it is red.
  In (101,32), the ground is expected to be magenta, but it is white.
  In (101,33), the ground is expected to be blue, but it is white.
  In (101,35), the ground is expected to be green, but it is red.
  In (101,36), the ground is expected to be green, but it is magenta.
  In (101,37), the ground is expected to be white, but it is black.
  In (101,38), the ground is expected to be cyan, but it is white.
  In (101,39), the ground is expected to be black, but it is grey.
  In (101,40), the ground is expected to be cyan, but it is grey.
  In (101,41), the ground is expected to be magenta, but it is green.
  In (101,42), the ground is expected to be blue, but it is cyan.
  In (101,43), the ground is expected to be pink, but it is black.
  In (101,45), the ground is expected to be magenta, but it is pink.
  In (101,46), the ground is expected to be red, but it is grey.
  In (101,47), the ground is expected to be dark grey, but it is blue.
  In (101,48), the ground is expected to be green, but it is white.
  In (101,49), the ground is expected to be cyan, but it is grey.
  In (101,50), the ground is expected to be white, but it is blue.
  In (101,51), the ground is expected to be dark grey, but it is blue.
  In (101,53), the ground is expected to be white, but it is green.
  In (101,54), the ground is expected to be white, but it is black.
  In (101,55), the ground is expected to be white, but it is magenta.
  In (101,56), the ground is expected to be white, but it is red.
  In (101,57), the ground is expected to be white, but it is red.
  In (101,58), the ground is expected to be white, but it is orange.
  In (101,59), the ground is expected to be white, but it is cyan.
  In (102,0), the ground is expected to be white, but it is black.
  In (102,6), the ground is expected to be white, but it is black.
  In (102,7), the ground is expected to be white, but it is cyan.
  In (102,8), the ground is expected to be white, but it is magenta.
  In (102,9), the ground is expected to be white, but it is orange.
  In (102,10), the ground is expected to be white, but it is magenta.
  In (102,11), the ground is expected to be white, but it is red.
  In (102,12), the ground is expected to be blue, but it is orange.
  In (102,13), the ground is expected to be grey, but it is light grey.
  In (102,14), the ground is expected to be light grey, but it is grey.
  In (102,15), the ground is expected to be blue, but it is pink.
  In (102,16), the ground is expected to be green, but it is grey.
  In (102,17), the ground is expected to be blue, but it is red.
  In (102,18), the ground is expected to be blue, but it is orange.
  In (102,19), the ground is expected to be dark grey, but it is cyan.
  In (102,20), the ground is expected to be black, but it is magenta.
  In (102,21), the ground is expected to be blue, but it is pink.
  In (102,22), the ground is expected to be light grey, but it is grey.
  In (102,23), the ground is expected to be cyan, but it is dark grey.
