  In (0,1), the ground is expected to be white, but it is light grey.
  In (53,6), the ground is expected to be light grey, but it is white.
  In (53,7), the ground is expected to be light grey, but it is white.
  In (53,13), the ground is expected to be light grey, but it is white.
  In (53,14), the ground is expected to be light grey, but it is white.
  In (53,20), the ground is expected to be light grey, but it is white.
  In (53,21), the ground is expected to be light grey, but it is white.
  In (53,27), the ground is expected to be light grey, but it is white.
  In (53,28), the ground is expected to be light grey, but it is white.
  In (53,34), the ground is expected to be light grey, but it is white.
  In (53,35), the ground is expected to be light grey, but it is white.
  In (53,41), the ground is expected to be light grey, but it is white.
  In (53,42), the ground is expected to be light grey, but it is white.
  In (53,48), the ground is expected to be light grey, but it is white.
  In (53,49), the ground is expected to be light grey, but it is white.
  In (53,55), the ground is expected to be light grey, but it is white.
  In (53,56), the ground is expected to be light grey, but it is white.
  In (53,62), the ground is expected to be light grey, but it is white.
  In (54,3), the ground is expected to be light grey, but it is white.
  In (54,10), the ground is expected to be light grey, but it is white.
  In (54,17), the ground is expected to be light grey, but it is white.
  In (54,24), the ground is expected to be light grey, but it is white.
  In (54,31), the ground is expected to be light grey, but it is white.
  In (54,38), the ground is expected to be light grey, but it is white.
  In (54,45), the ground is expected to be light grey, but it is white.
  In (54,52), the ground is expected to be light grey, but it is white.
  In (54,59), the ground is expected to be light grey, but it is white.
  In (55,2), the ground is expected to be light grey, but it is white.
  In (55,4), the ground is expected to be light grey, but it is white.
  In (55,9), the ground is expected to be light grey, but it is white.
  In (55,11), the ground is expected to be light grey, but it is white.
  In (55,16), the ground is expected to be light grey, but it is white.
  In (55,18), the ground is expected to be light grey, but it is white.
  In (55,23), the ground is expected to be light grey, but it is white.
  In (55,25), the ground is expected to be light grey, but it is white.
  In (55,30), the ground is expected to be light grey, but it is white.
  In (55,32), the ground is expected to be light grey, but it is white.
  In (55,37), the ground is expected to be light grey, but it is white.
  In (55,39), the ground is expected to be light grey, but it is white.
  In (55,44), the ground is expected to be light grey, but it is white.
  In (55,46), the ground is expected to be light grey, but it is white.
  In (55,51), the ground is expected to be light grey, but it is white.
  In (55,53), the ground is expected to be light grey, but it is white.
  In (55,58), the ground is expected to be light grey, but it is white.
  In (55,60), the ground is expected to be light grey, but it is white.
  In (56,2), the ground is expected to be light grey, but it is white.
  In (56,4), the ground is expected to be light grey, but it is white.
  In (56,9), the ground is expected to be light grey, but it is white.
  In (56,11), the ground is expected to be light grey, but it is white.
  In (56,16), the ground is expected to be light grey, but it is white.
  In (56,18), the ground is expected to be light grey, but it is white.
  In (56,23), the ground is expected to be light grey, but it is white.
  In (56,25), the ground is expected to be light grey, but it is white.
  In (56,30), the ground is expected to be light grey, but it is white.
  In (56,32), the ground is expected to be light grey, but it is white.
  In (56,37), the ground is expected to be light grey, but it is white.
  In (56,39), the ground is expected to be light grey, but it is white.
  In (56,44), the ground is expected to be light grey, but it is white.
  In (56,46), the ground is expected to be light grey, but it is white.
  In (56,51), the ground is expected to be light grey, but it is white.
  In (56,53), the ground is expected to be light grey, but it is white.
  In (56,58), the ground is expected to be light grey, but it is white.
  In (56,60), the ground is expected to be light grey, but it is white.
  In (57,3), the ground is expected to be light grey, but it is white.
  In (57,10), the ground is expected to be light grey, but it is white.
  In (57,17), the ground is expected to be light grey, but it is white.
  In (57,24), the ground is expected to be light grey, but it is white.
  In (57,31), the ground is expected to be light grey, but it is white.
  In (57,38), the ground is expected to be light grey, but it is white.
  In (57,45), the ground is expected to be light grey, but it is white.
  In (57,52), the ground is expected to be light grey, but it is white.
  In (57,59), the ground is expected to be light grey, but it is white.
  In (58,0), the ground is expected to be light grey, but it is white.
  In (58,6), the ground is expected to be light grey, but it is white.
  In (58,7), the ground is expected to be light grey, but it is white.
  In (58,13), the ground is expected to be light grey, but it is white.
  In (58,14), the ground is expected to be light grey, but it is white.
  In (58,20), the ground is expected to be light grey, but it is white.
  In (58,21), the ground is expected to be light grey, but it is white.
  In (58,27), the ground is expected to be light grey, but it is white.
  In (58,28), the ground is expected to be light grey, but it is white.
  In (58,34), the ground is expected to be light grey, but it is white.
  In (58,35), the ground is expected to be light grey, but it is white.
  In (58,41), the ground is expected to be light grey, but it is white.
  In (58,42), the ground is expected to be light grey, but it is white.
  In (58,48), the ground is expected to be light grey, but it is white.
  In (58,49), the ground is expected to be light grey, but it is white.
  In (58,55), the ground is expected to be light grey, but it is white.
  In (58,56), the ground is expected to be light grey, but it is white.
  In (58,62), the ground is expected to be light grey, but it is white.
  In (59,1), the ground is expected to be light grey, but it is white.
  In (59,5), the ground is expected to be light grey, but it is white.
  In (59,8), the ground is expected to be light grey, but it is white.
  In (59,12), the ground is expected to be light grey, but it is white.
  In (59,15), the ground is expected to be light grey, but it is white.
  In (59,19), the ground is expected to be light grey, but it is white.
  In (59,22), the ground is expected to be light grey, but it is white.
  In (59,26), the ground is expected to be light grey, but it is white.
  In (59,29), the ground is expected to be light grey, but it is white.
  In (59,33), the ground is expected to be light grey, but it is white.
  In (59,36), the ground is expected to be light grey, but it is white.
  In (59,40), the ground is expected to be light grey, but it is white.
  In (59,43), the ground is expected to be light grey, but it is white.
  In (59,47), the ground is expected to be light grey, but it is white.
  In (59,50), the ground is expected to be light grey, but it is white.
  In (59,54), the ground is expected to be light grey, but it is white.
  In (59,57), the ground is expected to be light grey, but it is white.
  In (59,61), the ground is expected to be light grey, but it is white.
  In (60,0), the ground is expected to be light grey, but it is white.
  In (60,6), the ground is expected to be light grey, but it is white.
  In (60,7), the ground is expected to be light grey, but it is white.
  In (60,13), the ground is expected to be light grey, but it is white.
  In (60,14), the ground is expected to be light grey, but it is white.
  In (60,20), the ground is expected to be light grey, but it is white.
  In (60,21), the ground is expected to be light grey, but it is white.
  In (60,27), the ground is expected to be light grey, but it is white.
  In (60,28), the ground is expected to be light grey, but it is white.
  In (60,34), the ground is expected to be light grey, but it is white.
  In (60,35), the ground is expected to be light grey, but it is white.
  In (60,41), the ground is expected to be light grey, but it is white.
  In (60,42), the ground is expected to be light grey, but it is white.
  In (60,48), the ground is expected to be light grey, but it is white.
  In (60,49), the ground is expected to be light grey, but it is white.
  In (60,55), the ground is expected to be light grey, but it is white.
  In (60,56), the ground is expected to be light grey, but it is white.
  In (60,62), the ground is expected to be light grey, but it is white.
  In (61,3), the ground is expected to be light grey, but it is white.
  In (61,10), the ground is expected to be light grey, but it is white.
  In (61,17), the ground is expected to be light grey, but it is white.
  In (61,24), the ground is expected to be light grey, but it is white.
  In (61,31), the ground is expected to be light grey, but it is white.
  In (61,38), the ground is expected to be light grey, but it is white.
  In (61,45), the ground is expected to be light grey, but it is white.
  In (61,52), the ground is expected to be light grey, but it is white.
  In (61,59), the ground is expected to be light grey, but it is white.
  In (62,2), the ground is expected to be light grey, but it is white.
  In (62,4), the ground is expected to be light grey, but it is white.
  In (62,9), the ground is expected to be light grey, but it is white.
  In (62,11), the ground is expected to be light grey, but it is white.
  In (62,16), the ground is expected to be light grey, but it is white.
  In (62,18), the ground is expected to be light grey, but it is white.
  In (62,23), the ground is expected to be light grey, but it is white.
  In (62,25), the ground is expected to be light grey, but it is white.
  In (62,30), the ground is expected to be light grey, but it is white.
  In (62,32), the ground is expected to be light grey, but it is white.
  In (62,37), the ground is expected to be light grey, but it is white.
  In (62,39), the ground is expected to be light grey, but it is white.
  In (62,44), the ground is expected to be light grey, but it is white.
  In (62,46), the ground is expected to be light grey, but it is white.
  In (62,51), the ground is expected to be light grey, but it is white.
  In (62,53), the ground is expected to be light grey, but it is white.
  In (62,58), the ground is expected to be light grey, but it is white.
  In (62,60), the ground is expected to be light grey, but it is white.
  Something is wrong about buggle 'Picasso':
    Its position is (58,14); expected: (0,62).

