The amount of steps is wrong: 83420 is not 0
  In (3,49), the ground is expected to be yellow, but it is white.
  In (44,62), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (44,63), the ground is expected to be white, but it is cyan.
  In (44,64), the ground is expected to be white, but it is light grey.
  In (44,65), the ground is expected to be white, but it is dark grey.
  In (44,66), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (44,67), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (44,68), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (44,69), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (44,70), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (44,71), the ground is expected to be white, but it is magenta.
  In (44,72), the ground is expected to be white, but it is cyan.
  In (44,73), the ground is expected to be white, but it is yellow.
  In (44,74), the ground is expected to be white, but it is red.
  In (44,75), the ground is expected to be white, but it is blue.
  In (44,76), the ground is expected to be white, but it is blue.
  In (44,78), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (44,79), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (44,80), the ground is expected to be white, but it is black.
  In (44,81), the ground is expected to be white, but it is red.
  In (44,82), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (44,83), the ground is expected to be white, but it is pink.
  In (44,84), the ground is expected to be white, but it is light grey.
  In (44,85), the ground is expected to be white, but it is light grey.
  In (44,86), the ground is expected to be white, but it is light grey.
  In (44,87), the ground is expected to be white, but it is magenta.
  In (44,88), the ground is expected to be white, but it is orange.
  In (44,89), the ground is expected to be white, but it is cyan.
  In (44,90), the ground is expected to be white, but it is yellow.
  In (45,8), the ground is expected to be yellow, but it is white.
  In (45,9), the ground is expected to be yellow, but it is white.
  In (45,10), the ground is expected to be yellow, but it is white.
  In (45,12), the ground is expected to be yellow, but it is white.
  In (45,13), the ground is expected to be yellow, but it is white.
  In (45,14), the ground is expected to be yellow, but it is white.
  In (45,15), the ground is expected to be yellow, but it is white.
  In (45,16), the ground is expected to be yellow, but it is white.
  In (45,17), the ground is expected to be yellow, but it is white.
  In (45,18), the ground is expected to be yellow, but it is white.
  In (45,21), the ground is expected to be white, but it is red.
  In (45,22), the ground is expected to be white, but it is cyan.
  In (45,23), the ground is expected to be white, but it is black.
  In (45,24), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (45,25), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (45,26), the ground is expected to be yellow, but it is java.awt.Color[r=206,g=113,b=207].
  In (45,27), the ground is expected to be white, but it is pink.
  In (45,28), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (45,29), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (45,30), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (45,31), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (45,32), the ground is expected to be yellow, but it is orange.
  In (45,33), the ground is expected to be white, but it is black.
  In (45,34), the ground is expected to be yellow, but it is cyan.
  In (45,35), the ground is expected to be yellow, but it is magenta.
  In (45,36), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (45,37), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (45,38), the ground is expected to be yellow, but it is java.awt.Color[r=82,g=208,b=110].
  In (45,39), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (45,40), the ground is expected to be yellow, but it is cyan.
  In (45,41), the ground is expected to be white, but it is grey.
  In (45,42), the ground is expected to be yellow, but it is grey.
  In (45,43), the ground is expected to be yellow, but it is grey.
  In (45,44), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (45,45), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (45,46), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (45,47), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (45,48), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (45,49), the ground is expected to be white, but it is blue.
  In (45,50), the ground is expected to be white, but it is blue.
  In (45,51), the ground is expected to be white, but it is black.
  In (45,52), the ground is expected to be white, but it is yellow.
  In (45,53), the ground is expected to be white, but it is red.
  In (45,54), the ground is expected to be white, but it is pink.
  In (45,55), the ground is expected to be white, but it is cyan.
  In (45,56), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (45,57), the ground is expected to be white, but it is dark grey.
  In (45,58), the ground is expected to be white, but it is cyan.
  In (45,59), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (45,60), the ground is expected to be white, but it is green.
  In (45,61), the ground is expected to be white, but it is green.
  In (45,62), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (45,63), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (45,64), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (45,65), the ground is expected to be white, but it is black.
  In (45,66), the ground is expected to be white, but it is black.
  In (45,67), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (45,68), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (45,69), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (45,70), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (45,71), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (45,72), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (45,73), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (45,74), the ground is expected to be white, but it is light grey.
  In (45,75), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (45,76), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (45,77), the ground is expected to be white, but it is magenta.
  In (45,78), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (45,79), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (45,80), the ground is expected to be white, but it is blue.
  In (45,81), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (45,82), the ground is expected to be white, but it is light grey.
  In (45,83), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (45,84), the ground is expected to be white, but it is pink.
  In (45,85), the ground is expected to be white, but it is pink.
  In (45,86), the ground is expected to be white, but it is magenta.
  In (45,87), the ground is expected to be white, but it is grey.
  In (45,88), the ground is expected to be white, but it is dark grey.
  In (45,89), the ground is expected to be white, but it is black.
  In (45,90), the ground is expected to be white, but it is cyan.
  In (46,9), the ground is expected to be yellow, but it is white.
  In (46,10), the ground is expected to be yellow, but it is white.
  In (46,12), the ground is expected to be yellow, but it is white.
  In (46,13), the ground is expected to be yellow, but it is white.
  In (46,15), the ground is expected to be yellow, but it is white.
  In (46,17), the ground is expected to be yellow, but it is white.
  In (46,18), the ground is expected to be yellow, but it is white.
  In (46,19), the ground is expected to be yellow, but it is white.
  In (46,20), the ground is expected to be white, but it is yellow.
  In (46,21), the ground is expected to be white, but it is red.
  In (46,22), the ground is expected to be yellow, but it is cyan.
  In (46,23), the ground is expected to be yellow, but it is black.
  In (46,24), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (46,25), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (46,26), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (46,27), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (46,28), the ground is expected to be yellow, but it is red.
  In (46,29), the ground is expected to be yellow, but it is dark grey.
  In (46,30), the ground is expected to be yellow, but it is red.
  In (46,31), the ground is expected to be white, but it is green.
  In (46,32), the ground is expected to be yellow, but it is black.
  In (46,33), the ground is expected to be white, but it is orange.
  In (46,34), the ground is expected to be yellow, but it is dark grey.
  In (46,35), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (46,36), the ground is expected to be yellow, but it is black.
  In (46,37), the ground is expected to be yellow, but it is dark grey.
  In (46,38), the ground is expected to be white, but it is black.
  In (46,39), the ground is expected to be yellow, but it is green.
  In (46,40), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (46,41), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (46,42), the ground is expected to be yellow, but it is cyan.
  In (46,43), the ground is expected to be yellow, but it is black.
  In (46,44), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (46,45), the ground is expected to be yellow, but it is grey.
  In (46,46), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (46,47), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (46,48), the ground is expected to be white, but it is red.
  In (46,49), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (46,50), the ground is expected to be white, but it is grey.
  In (46,52), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (46,53), the ground is expected to be white, but it is grey.
  In (46,54), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (46,55), the ground is expected to be white, but it is yellow.
  In (46,56), the ground is expected to be white, but it is blue.
  In (46,57), the ground is expected to be white, but it is blue.
  In (46,59), the ground is expected to be white, but it is cyan.
  In (46,60), the ground is expected to be yellow, but it is magenta.
  In (46,61), the ground is expected to be yellow, but it is orange.
  In (46,62), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (46,64), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (46,65), the ground is expected to be white, but it is yellow.
  In (46,66), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (46,67), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (46,68), the ground is expected to be white, but it is light grey.
  In (46,69), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (46,70), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (46,71), the ground is expected to be white, but it is orange.
  In (46,72), the ground is expected to be white, but it is black.
  In (46,73), the ground is expected to be white, but it is orange.
  In (46,74), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (46,75), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (46,76), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (46,77), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (46,78), the ground is expected to be white, but it is light grey.
  In (46,79), the ground is expected to be white, but it is dark grey.
  In (46,80), the ground is expected to be white, but it is red.
  In (46,81), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (46,82), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (46,83), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (46,84), the ground is expected to be white, but it is light grey.
  In (46,85), the ground is expected to be white, but it is light grey.
  In (46,86), the ground is expected to be white, but it is magenta.
  In (46,87), the ground is expected to be white, but it is dark grey.
  In (46,88), the ground is expected to be white, but it is dark grey.
  In (46,89), the ground is expected to be white, but it is black.
  In (46,90), the ground is expected to be white, but it is cyan.
  In (47,9), the ground is expected to be yellow, but it is white.
  In (47,11), the ground is expected to be yellow, but it is white.
  In (47,18), the ground is expected to be yellow, but it is white.
  In (47,19), the ground is expected to be yellow, but it is white.
  In (47,21), the ground is expected to be white, but it is cyan.
  In (47,22), the ground is expected to be white, but it is orange.
  In (47,23), the ground is expected to be white, but it is dark grey.
  In (47,24), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (47,25), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (47,26), the ground is expected to be yellow, but it is red.
  In (47,27), the ground is expected to be yellow, but it is blue.
  In (47,28), the ground is expected to be white, but it is grey.
  In (47,29), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (47,30), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (47,31), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (47,32), the ground is expected to be yellow, but it is orange.
  In (47,33), the ground is expected to be yellow, but it is java.awt.Color[r=185,g=45,b=224].
  In (47,34), the ground is expected to be yellow, but it is blue.
  In (47,35), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (47,36), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (47,37), the ground is expected to be yellow, but it is green.
  In (47,38), the ground is expected to be white, but it is grey.
  In (47,39), the ground is expected to be white, but it is yellow.
  In (47,40), the ground is expected to be yellow, but it is magenta.
  In (47,41), the ground is expected to be yellow, but it is red.
  In (47,42), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (47,43), the ground is expected to be white, but it is black.
  In (47,45), the ground is expected to be yellow, but it is java.awt.Color[r=206,g=113,b=207].
  In (47,46), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (47,47), the ground is expected to be white, but it is green.
  In (47,48), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (47,49), the ground is expected to be white, but it is magenta.
  In (47,50), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (47,51), the ground is expected to be white, but it is grey.
  In (47,52), the ground is expected to be white, but it is yellow.
  In (47,53), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (47,54), the ground is expected to be white, but it is red.
  In (47,55), the ground is expected to be white, but it is blue.
  In (47,56), the ground is expected to be white, but it is green.
  In (47,57), the ground is expected to be white, but it is grey.
  In (47,58), the ground is expected to be white, but it is blue.
  In (47,59), the ground is expected to be yellow, but it is white.
  In (47,60), the ground is expected to be yellow, but it is magenta.
  In (47,61), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (47,62), the ground is expected to be yellow, but it is red.
  In (47,63), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (47,64), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (47,65), the ground is expected to be white, but it is red.
  In (47,66), the ground is expected to be white, but it is grey.
  In (47,67), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (47,68), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (47,69), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (47,70), the ground is expected to be white, but it is blue.
  In (47,71), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (47,72), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (47,73), the ground is expected to be white, but it is grey.
  In (47,74), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (47,75), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (47,76), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (47,77), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (47,78), the ground is expected to be white, but it is grey.
  In (47,79), the ground is expected to be white, but it is light grey.
  In (47,80), the ground is expected to be white, but it is orange.
  In (47,81), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (47,82), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (47,83), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (47,84), the ground is expected to be white, but it is dark grey.
  In (47,85), the ground is expected to be white, but it is magenta.
  In (47,86), the ground is expected to be white, but it is grey.
  In (47,87), the ground is expected to be white, but it is grey.
  In (47,88), the ground is expected to be white, but it is black.
  In (47,89), the ground is expected to be white, but it is orange.
  In (47,90), the ground is expected to be white, but it is red.
  In (48,9), the ground is expected to be yellow, but it is white.
  In (48,10), the ground is expected to be yellow, but it is white.
  In (48,11), the ground is expected to be yellow, but it is white.
  In (48,13), the ground is expected to be yellow, but it is white.
  In (48,17), the ground is expected to be yellow, but it is white.
  In (48,18), the ground is expected to be yellow, but it is white.
  In (48,21), the ground is expected to be white, but it is cyan.
  In (48,22), the ground is expected to be white, but it is orange.
  In (48,23), the ground is expected to be white, but it is light grey.
  In (48,24), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (48,25), the ground is expected to be yellow, but it is white.
  In (48,28), the ground is expected to be yellow, but it is java.awt.Color[r=185,g=45,b=224].
  In (48,29), the ground is expected to be yellow, but it is light grey.
  In (48,30), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (48,31), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (48,32), the ground is expected to be white, but it is orange.
  In (48,33), the ground is expected to be white, but it is cyan.
  In (48,34), the ground is expected to be yellow, but it is black.
  In (48,35), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (48,36), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (48,37), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (48,39), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (48,40), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (48,41), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (48,42), the ground is expected to be yellow, but it is grey.
  In (48,43), the ground is expected to be yellow, but it is java.awt.Color[r=244,g=184,b=202].
  In (48,44), the ground is expected to be white, but it is red.
  In (48,45), the ground is expected to be yellow, but it is magenta.
  In (48,46), the ground is expected to be yellow, but it is java.awt.Color[r=244,g=184,b=202].
  In (48,47), the ground is expected to be white, but it is red.
  In (48,48), the ground is expected to be white, but it is grey.
  In (48,49), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (48,50), the ground is expected to be white, but it is yellow.
  In (48,51), the ground is expected to be white, but it is black.
  In (48,52), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (48,53), the ground is expected to be white, but it is cyan.
  In (48,54), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (48,55), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (48,56), the ground is expected to be white, but it is grey.
  In (48,57), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (48,58), the ground is expected to be white, but it is green.
  In (48,59), the ground is expected to be white, but it is blue.
  In (48,60), the ground is expected to be white, but it is red.
  In (48,61), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (48,62), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (48,63), the ground is expected to be white, but it is dark grey.
  In (48,64), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (48,65), the ground is expected to be white, but it is red.
  In (48,66), the ground is expected to be white, but it is green.
  In (48,67), the ground is expected to be white, but it is red.
  In (48,68), the ground is expected to be white, but it is yellow.
  In (48,69), the ground is expected to be white, but it is pink.
  In (48,70), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (48,71), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (48,72), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (48,73), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (48,74), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (48,75), the ground is expected to be white, but it is yellow.
  In (48,76), the ground is expected to be white, but it is magenta.
  In (48,77), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (48,78), the ground is expected to be white, but it is green.
  In (48,79), the ground is expected to be white, but it is black.
  In (48,80), the ground is expected to be white, but it is blue.
  In (48,81), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (48,82), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (48,83), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (48,84), the ground is expected to be white, but it is pink.
  In (48,85), the ground is expected to be white, but it is black.
  In (48,86), the ground is expected to be white, but it is cyan.
  In (48,87), the ground is expected to be white, but it is cyan.
  In (48,88), the ground is expected to be white, but it is orange.
  In (48,89), the ground is expected to be white, but it is green.
  In (48,90), the ground is expected to be white, but it is red.
  In (49,12), the ground is expected to be yellow, but it is white.
  In (49,13), the ground is expected to be yellow, but it is white.
  In (49,15), the ground is expected to be yellow, but it is white.
  In (49,17), the ground is expected to be yellow, but it is white.
  In (49,18), the ground is expected to be yellow, but it is white.
  In (49,19), the ground is expected to be yellow, but it is white.
  In (49,21), the ground is expected to be yellow, but it is cyan.
  In (49,22), the ground is expected to be yellow, but it is orange.
  In (49,23), the ground is expected to be yellow, but it is pink.
  In (49,24), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (49,25), the ground is expected to be yellow, but it is white.
  In (49,26), the ground is expected to be white, but it is cyan.
  In (49,27), the ground is expected to be yellow, but it is green.
  In (49,28), the ground is expected to be yellow, but it is green.
  In (49,29), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (49,30), the ground is expected to be white, but it is pink.
  In (49,31), the ground is expected to be white, but it is orange.
  In (49,32), the ground is expected to be white, but it is black.
  In (49,33), the ground is expected to be white, but it is pink.
  In (49,34), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (49,35), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (49,36), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (49,37), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (49,38), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (49,39), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (49,40), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (49,41), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (49,42), the ground is expected to be white, but it is black.
  In (49,43), the ground is expected to be yellow, but it is magenta.
  In (49,44), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (49,45), the ground is expected to be white, but it is light grey.
  In (49,47), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (49,48), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (49,49), the ground is expected to be white, but it is blue.
  In (49,50), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (49,51), the ground is expected to be white, but it is dark grey.
  In (49,52), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (49,53), the ground is expected to be white, but it is pink.
  In (49,55), the ground is expected to be white, but it is pink.
  In (49,56), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (49,57), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (49,58), the ground is expected to be yellow, but it is java.awt.Color[r=185,g=45,b=224].
  In (49,59), the ground is expected to be yellow, but it is dark grey.
  In (49,60), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (49,61), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (49,62), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (49,63), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (49,64), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (49,65), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (49,67), the ground is expected to be white, but it is blue.
  In (49,68), the ground is expected to be white, but it is cyan.
  In (49,69), the ground is expected to be white, but it is light grey.
  In (49,70), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (49,71), the ground is expected to be white, but it is orange.
  In (49,72), the ground is expected to be white, but it is cyan.
  In (49,73), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (49,74), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (49,75), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (49,76), the ground is expected to be white, but it is red.
  In (49,77), the ground is expected to be white, but it is pink.
  In (49,78), the ground is expected to be white, but it is blue.
  In (49,79), the ground is expected to be white, but it is grey.
  In (49,80), the ground is expected to be white, but it is blue.
  In (49,81), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (49,82), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (49,83), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (49,84), the ground is expected to be white, but it is magenta.
  In (49,85), the ground is expected to be white, but it is cyan.
  In (49,86), the ground is expected to be white, but it is yellow.
  In (49,87), the ground is expected to be white, but it is yellow.
  In (49,88), the ground is expected to be white, but it is red.
  In (49,89), the ground is expected to be white, but it is red.
  In (49,90), the ground is expected to be white, but it is yellow.
  In (50,13), the ground is expected to be yellow, but it is white.
  In (50,14), the ground is expected to be yellow, but it is white.
  In (50,15), the ground is expected to be yellow, but it is white.
  In (50,16), the ground is expected to be yellow, but it is white.
  In (50,17), the ground is expected to be yellow, but it is white.
  In (50,18), the ground is expected to be yellow, but it is white.
  In (50,19), the ground is expected to be yellow, but it is white.
  In (50,20), the ground is expected to be white, but it is yellow.
  In (50,21), the ground is expected to be white, but it is yellow.
  In (50,22), the ground is expected to be yellow, but it is green.
  In (50,23), the ground is expected to be yellow, but it is light grey.
  In (50,24), the ground is expected to be yellow, but it is java.awt.Color[r=206,g=113,b=207].
  In (50,25), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (50,27), the ground is expected to be yellow, but it is grey.
  In (50,28), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (50,29), the ground is expected to be white, but it is magenta.
  In (50,30), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (50,31), the ground is expected to be white, but it is green.
  In (50,32), the ground is expected to be white, but it is blue.
  In (50,33), the ground is expected to be white, but it is dark grey.
  In (50,34), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (50,35), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (50,36), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (50,37), the ground is expected to be white, but it is black.
  In (50,38), the ground is expected to be yellow, but it is black.
  In (50,39), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (50,40), the ground is expected to be white, but it is red.
  In (50,41), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (50,42), the ground is expected to be yellow, but it is black.
  In (50,43), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (50,44), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (50,45), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (50,46), the ground is expected to be white, but it is pink.
  In (50,47), the ground is expected to be white, but it is orange.
  In (50,48), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (50,49), the ground is expected to be white, but it is green.
  In (50,50), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (50,51), the ground is expected to be white, but it is red.
  In (50,52), the ground is expected to be white, but it is dark grey.
  In (50,53), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (50,54), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (50,56), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (50,57), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
